3.0,b'kerosene',90.0,88.0,10.0,7.0,b'1'
4.0,b'thinner',70.0,95.0,12.9,27.0,b'1'
4.0,b'gasoline',10.0,105.0,14.5,17.0,b'1'
2.0,b'thinner',90.0,106.0,11.9,44.0,b'1'
3.0,b'gasoline',130.0,96.0,0.0,72.0,b'0'
3.0,b'kerosene',80.0,106.0,12.0,27.0,b'1'
2.0,b'kerosene',70.0,88.0,10.7,17.0,b'1'
2.0,b'thinner',20.0,105.0,12.3,10.0,b'1'
5.0,b'thinner',150.0,94.0,4.0,45.0,b'0'
4.0,b'kerosene',40.0,85.0,9.2,4.0,b'1'
1.0,b'gasoline',50.0,101.0,0.0,67.0,b'0'
4.0,b'thinner',110.0,89.0,8.1,6.0,b'0'
6.0,b'lpg',50.0,88.0,10.6,17.0,b'1'
7.0,b'lpg',110.0,104.0,6.7,46.0,b'0'
3.0,b'thinner',50.0,107.0,14.4,33.0,b'1'
5.0,b'kerosene',60.0,106.0,11.0,52.0,b'0'
3.0,b'gasoline',80.0,87.0,7.7,4.0,b'0'
5.0,b'gasoline',140.0,93.0,5.7,30.0,b'0'
5.0,b'gasoline',30.0,88.0,10.2,5.0,b'1'
5.0,b'thinner',40.0,106.0,14.5,32.0,b'1'
1.0,b'thinner',120.0,92.0,3.8,10.0,b'1'
3.0,b'thinner',30.0,88.0,11.9,22.0,b'1'
5.0,b'gasoline',90.0,105.0,13.2,33.0,b'1'
4.0,b'kerosene',130.0,92.0,5.0,19.0,b'0'
5.0,b'thinner',30.0,86.0,7.4,3.0,b'0'
4.0,b'thinner',70.0,90.0,9.5,8.0,b'1'
5.0,b'kerosene',80.0,75.0,0.0,1.0,b'0'
2.0,b'gasoline',190.0,90.0,2.6,21.0,b'0'
1.0,b'thinner',190.0,92.0,2.0,9.0,b'0'
1.0,b'thinner',110.0,100.0,7.0,17.0,b'1'
2.0,b'thinner',120.0,103.0,8.5,33.0,b'1'
2.0,b'kerosene',20.0,88.0,13.3,27.0,b'1'
1.0,b'gasoline',170.0,76.0,0.0,1.0,b'0'
7.0,b'lpg',80.0,96.0,0.0,75.0,b'0'
2.0,b'kerosene',20.0,103.0,12.0,55.0,b'1'
2.0,b'thinner',90.0,106.0,10.9,48.0,b'0'
5.0,b'thinner',150.0,74.0,0.0,1.0,b'0'
5.0,b'kerosene',190.0,102.0,2.9,25.0,b'0'
5.0,b'gasoline',160.0,102.0,2.7,48.0,b'0'
7.0,b'lpg',120.0,96.0,0.0,72.0,b'0'
2.0,b'kerosene',160.0,93.0,5.8,32.0,b'0'
2.0,b'gasoline',50.0,108.0,13.2,50.0,b'1'
1.0,b'kerosene',140.0,95.0,1.3,66.0,b'0'
5.0,b'gasoline',10.0,93.0,11.9,13.0,b'1'
4.0,b'thinner',100.0,91.0,9.0,16.0,b'1'
2.0,b'kerosene',10.0,96.0,2.6,70.0,b'1'
1.0,b'thinner',190.0,96.0,0.0,70.0,b'0'
2.0,b'kerosene',160.0,84.0,3.1,3.0,b'0'
7.0,b'lpg',190.0,93.0,2.5,45.0,b'0'
5.0,b'kerosene',100.0,91.0,9.0,16.0,b'1'
1.0,b'thinner',90.0,110.0,12.2,38.0,b'1'
4.0,b'thinner',30.0,86.0,11.6,18.0,b'1'
1.0,b'gasoline',30.0,103.0,7.0,65.0,b'1'
3.0,b'thinner',100.0,104.0,7.5,26.0,b'1'
4.0,b'thinner',70.0,104.0,11.0,20.0,b'1'
4.0,b'gasoline',30.0,103.0,7.0,65.0,b'0'
1.0,b'thinner',110.0,108.0,7.8,38.0,b'1'
4.0,b'gasoline',160.0,105.0,4.4,36.0,b'0'
6.0,b'lpg',160.0,95.0,2.5,60.0,b'0'
2.0,b'thinner',190.0,93.0,2.5,45.0,b'0'
1.0,b'kerosene',120.0,104.0,6.1,44.0,b'0'
4.0,b'gasoline',40.0,104.0,0.0,75.0,b'0'
4.0,b'thinner',80.0,106.0,12.0,27.0,b'1'
5.0,b'thinner',160.0,74.0,0.0,1.0,b'0'
4.0,b'kerosene',120.0,85.0,4.2,4.0,b'0'
4.0,b'gasoline',40.0,108.0,13.9,52.0,b'1'
1.0,b'thinner',40.0,107.0,15.2,44.0,b'1'
7.0,b'lpg',120.0,84.0,2.5,3.0,b'0'
1.0,b'kerosene',60.0,90.0,9.6,12.0,b'1'
2.0,b'kerosene',20.0,113.0,15.2,50.0,b'1'
4.0,b'thinner',50.0,106.0,14.1,32.0,b'1'
2.0,b'thinner',160.0,94.0,6.0,30.0,b'0'
2.0,b'thinner',100.0,102.0,4.9,51.0,b'0'
2.0,b'kerosene',170.0,92.0,4.0,34.0,b'0'
2.0,b'kerosene',30.0,87.0,12.3,19.0,b'1'
1.0,b'gasoline',180.0,103.0,2.5,52.0,b'0'
5.0,b'kerosene',140.0,93.0,5.7,30.0,b'0'
3.0,b'kerosene',10.0,93.0,11.9,13.0,b'1'
4.0,b'kerosene',10.0,105.0,12.9,8.0,b'1'
5.0,b'thinner',110.0,106.0,6.8,45.0,b'0'
4.0,b'thinner',150.0,94.0,4.0,45.0,b'0'
2.0,b'kerosene',20.0,104.0,15.5,40.0,b'1'
